"date","value"
1998-01-01,20608
1998-02-01,18655
1998-03-01,17987
1998-04-01,20282
1998-05-01,19155
1998-06-01,16440
1998-07-01,16702
1998-08-01,11754
1998-09-01,9168
1998-10-01,8865
1998-11-01,7821
1998-12-01,5087
1999-01-01,16434
1999-02-01,23729
1999-03-01,27844
1999-04-01,22375
1999-05-01,22874
1999-06-01,21326
1999-07-01,20901
1999-08-01,16412
1999-09-01,13828
1999-10-01,11559
1999-11-01,10413
1999-12-01,5904
2000-01-01,23807
2000-02-01,34376
2000-03-01,35331
2000-04-01,31540
2000-05-01,33026
2000-06-01,28668
2000-07-01,24295
2000-08-01,20232
2000-09-01,15359
2000-10-01,12599
2000-11-01,10120
2000-12-01,5638
2001-01-01,20622
2001-02-01,27396
2001-03-01,27505
2001-04-01,23400
2001-05-01,24200
2001-06-01,19751
2001-07-01,18802
2001-08-01,14400
2001-09-01,9865
2001-10-01,9834
2001-11-01,7602
2001-12-01,4064
2002-01-01,18219
2002-02-01,23836
2002-03-01,25755
2002-04-01,21879
2002-05-01,23336
2002-06-01,16443
2002-07-01,18378
2002-08-01,13409
2002-09-01,10803
2002-10-01,9675
2002-11-01,7366
2002-12-01,4644
2003-01-01,21243
2003-02-01,25029
2003-03-01,23278
2003-04-01,23001
2003-05-01,20544
2003-06-01,16537
2003-07-01,17647
2003-08-01,12068
2003-09-01,9988
2003-10-01,9171
2003-11-01,6021
2003-12-01,3582
2004-01-01,20870
2004-02-01,24695
2004-03-01,26239
2004-04-01,23620
2004-05-01,20622
2004-06-01,17965
2004-07-01,18443
2004-08-01,13184
2004-09-01,10933
2004-10-01,8823
2004-11-01,6540
2004-12-01,3656
2005-01-01,24079
2005-02-01,30090
2005-03-01,28898
2005-04-01,26955
2005-05-01,23958
2005-06-01,20195
2005-07-01,18729
2005-08-01,15260
2005-09-01,11334
2005-10-01,9521
2005-11-01,6658
2005-12-01,3750
2006-01-01,29962
2006-02-01,33089
2006-03-01,31800
2006-04-01,26687
2006-05-01,25565
